type,count
夫婦2人,29574
自分ひとり,12780
小学生以下連れの家族,10504
友人,6173
親,5520
その他家族,5063
恋人,4987
中学生以上連れの家族,4412
,3339
職場の同僚,1680
団体旅行,1226
中学生以下連れの家族,312
家族,211
学校関係（修学旅行・社会科見学等）,166
姉妹,50
娘,46
その他,36
姉,30
妹,27
子供,27
兄弟,25
親子,21
息子,17
親戚,16
夫婦と親,16
地元,13
親族,11
家族旅行,10
家族4人,10
家族3人,9
夫婦と娘,8
小学生と中学生の家族,8
子ども,8
親と夫婦,7
親戚一同,7
子,7
家族３人,7
親と妹,6
親と嫁,6
仕事,5
夫婦と両親,5
仕事関係,5
夫婦２人と親,5
義父、主人、妹、インコ,5
夫婦とペット犬,4
母、祖母,4
在住,4
住んでいる,4
ウオーキングクラブ,4
夫婦と犬,4
いとこ,4
孫,4
母と妹,4
妻、義母,4
パートナー,4
高校生の子供,4
従姉妹,4
きょうだい,4
家族5人,4
家族４人,4
夫婦と子供,3
3世代,3
夫婦と友人,3
福井県在住,3
夫婦と孫,3
親と兄弟家族,3
県内在住,3
親子三世代,3
居住,3
配偶者と友達夫婦,3
福井在住,3
中学生と幼稚園の子連れ,3
夫婦とペット,3
夫婦＋義理両親,3
妻と義理の親,3
小学生以下の子どもと自分の両親,3
子、父母,3
職場の先輩,3
保健師の仲間,3
夫婦と子供と妻の両親,3
夫婦&amp;親,3
母、叔母、夫婦の4人,3
親と叔母,3
成人の娘,3
高校生以上の家族,3
ボランティア仲間,3
兄,3
兄妹,3
子供夫婦,3
福井県民,2
ダイビングショップのメンバー,2
ダイビングツアー,2
こども,2
夫婦2人とワンコ2頭,2
合宿,2
ツアー,2
夫婦、娘家族,2
家族と友人,2
地域研修,2
小学生・中学生・親,2
親と子,2
顔見知り,2
成人の子供,2
夫婦、親,2
子供の習い事で社会見学,2
親と姉妹,2
夫と親,2
有志,2
夫婦と息子,2
妻、友人,2
親と兄弟,2
夫婦と夫の親,2
災害派遣,2
役職,2
義理家族,2
お客様,2
夫婦と両親の4人,2
夫婦２人と犬１ぴき,2
親兄弟,2
知り合い,2
兄夫婦,2
親戚家族,2
両親の長寿祝いのため家族で,2
小学生と中学生の子供連れ,2
夫婦と愛犬,2
夫婦2人と両親,2
同窓会,2
知人,2
父と祖母,2
親、親戚,2
親と姉,2
職場の上司,2
娘、孫,2
友達夫婦と4人,2
妻,2
町内レク,2
息子家族,2
夫,2
親子3世代,2
夫婦と友達夫婦,2
小中高生連れ家族,2
夫妻+友人夫妻,2
家族三世代,2
従兄弟,2
両親と姉,2
妻、義母、義叔母と,2
仕事仲間,2
高校生連れの家族,2
災害支援,2
妻と娘,2
娘　大学生,2
大学生の息子,2
夫婦、子供1人,2
母娘,2
災害支援チーム,2
石川在住,2
弟,2
大学生連れの家族,2
娘と,2
夫婦、娘、姉,2
親と恋人,2
義姉,2
家族一同,2
娘夫婦,2
家族と義父母家族,2
夫婦と犬2匹,2
姉妹と姪,2
家族、夫婦と成人の子供,2
ファミリー,2
姉弟,2
夫婦と子ども,2
祖父母,2
夫と自分の両親,1
福井市在住,1
ペット(犬),1
家族と親で７人,1
小学生、中学生の子どもと夫婦,1
学校部活の保護者会,1
